V1;V2
-41,14678104;-18,79794801
-41,14678104;-18,79794396
-41,14678284;-18,79763499
-41,14678104;-18,79794801
-41,23245204;-18,797364
-41,23261404;-18,79767702
-41,23285884;-18,79808904
-41,23298304;-18,79854804
-41,23327716;-18,79900497
-41,23362096;-18,799623
-41,23398996;-18,80049402
-41,23435788;-18,80106597
-41,23450692;-18,80163999
-41,23458396;-18,80209899
-41,23456416;-18,80262801
-41,23473804;-18,803178
-41,23495908;-18,80361396
-41,23505988;-18,80411904
-41,23511316;-18,80462403
-41,23526184;-18,80508303
-41,23538712;-18,80554203
-41,23543896;-18,80602398
-41,23549188;-18,80646102
-41,23578816;-18,80721702
-41,23603296;-18,80767503
-41,23630512;-18,80838603
-41,23652688;-18,80889003
-41,23679904;-18,809577
-41,23704384;-18,81003501
-41,23738584;-18,81049302
-41,23772712;-18,81085797
-41,23816308;-18,81101502
-41,23862388;-18,81117198
-41,23910808;-18,81128403
-41,23956816;-18,81144099
-41,24021904;-18,81136701
-41,24079792;-18,81136197
-41,24128284;-18,81151902
-41,24164788;-18,81183798
-41,24206116;-18,81215703
-41,24233008;-18,81252297
-41,24257488;-18,81291096
-41,24286792;-18,81327699
-41,24292012;-18,81373599
-41,24251188;-18,81394704
-41,24205396;-18,81406503
-41,24159496;-18,81404604
-41,24111292;-18,81418797
-41,24075292;-18,81446697
-41,24044296;-18,81488304
-41,24030292;-18,81539001
-41,24028384;-18,81596502
-41,24057688;-18,816354
-41,24084616;-18,81676503
-41,24125908;-18,81699201
-41,24169504;-18,81724104
-41,24215584;-18,81749097
-41,24242584;-18,817902
-41,24269584;-18,81838296
-41,24308392;-18,81863298
-41,24354508;-18,81885897
-41,24414916;-18,81892296
-41,24458584;-18,81915003
-41,24466216;-18,81960903
-41,24507688;-18,820089
-41,24525004;-18,82052397
-41,24530404;-18,82112202
-41,24555316;-18,82203903
-41,24534004;-18,82247796
-41,24505384;-18,82289403
-41,24469384;-18,82321902
-41,24426184;-18,82342899
-41,243805;-18,82370898
-41,24346984;-18,82401102
-41,24313504;-18,824427
-41,24277612;-18,82477503
-41,242563;-18,82521396
-41,24222784;-18,82560699
-41,24198988;-18,82600002
-41,24187396;-18,82650699
-41,24209608;-18,82698804
-41,24215008;-18,827631
-41,24196504;-18,82855197
-41,24175084;-18,82903698
-41,24141712;-18,829431
-41,24117916;-18,82986903
-41,24086884;-18,83026296
-41,24053404;-18,83058696
-41,24010204;-18,83093598
-41,23969416;-18,83119203
-41,23931004;-18,83151702
-41,23849392;-18,83212101
-41,23818396;-18,83256102
-41,23797084;-18,833022
-41,23790316;-18,83352897
-41,237811;-18,83398896
-41,23759716;-18,83442798
-41,23743192;-18,83484297
-41,23772496;-18,83518596
-41,23806516;-18,83550501
-41,23852812;-18,83591496
-41,239233;-18,83639196
-41,23971612;-18,83650401
-41,24022588;-18,83672901
-41,24066292;-18,83700198
-41,24090808;-18,837414
-41,24122488;-18,83780199
-41,24162088;-18,83883402
-41,24196396;-18,83945196
-41,242041;-18,83988801
-41,24235888;-18,84036798
-41,24262816;-18,84073401
-41,242851;-18,84142197
-41,24300112;-18,84201903
-41,24307816;-18,84250098
-41,24349108;-18,84279699
-41,24378412;-18,84313899
-41,24402892;-18,84355101
-41,24458692;-18,84382299
-41,24480796;-18,84421197
-41,24507796;-18,84471498
-41,24525112;-18,84517398
-41,24496492;-18,84556701
-41,24453292;-18,845847
-41,24380788;-18,84587499
-41,24334888;-18,84581001
