"ID","longitude","latitude","inout"
"X1",-46.35,-22.9,1
"X2",-46.35,-22.85,1
"X3",-46.3,-22.85,1
"X4",-46.25,-22.85,1
"X5",-46.2,-22.85,1
"X6",-46.15,-22.85,1
"X7",-46.1,-22.85,1
"X8",-46.05,-22.85,1
"X9",-46,-22.85,1
"X10",-46.35,-22.8,1
"X11",-46.3,-22.8,1
"X12",-46.25,-22.8,1
"X13",-46.2,-22.8,1
"X14",-46.15,-22.8,1
"X15",-46.1,-22.8,1
"X16",-46.05,-22.8,1
"X17",-46,-22.8,1
"X18",-45.95,-22.8,1
"X19",-45.9,-22.8,1
"X20",-45.85,-22.8,1
"X21",-45.8,-22.8,1
"X22",-46.35,-22.75,1
"X23",-46.3,-22.75,1
"X24",-46.25,-22.75,1
"X25",-46.2,-22.75,1
"X26",-46.15,-22.75,1
"X27",-46.1,-22.75,1
"X28",-46.05,-22.75,1
"X29",-46,-22.75,1
"X30",-45.95,-22.75,1
"X31",-45.9,-22.75,1
"X32",-45.85,-22.75,1
"X33",-45.8,-22.75,1
"X34",-45.75,-22.75,1
"X35",-46.45,-22.7,1
"X36",-46.4,-22.7,1
"X37",-46.35,-22.7,1
"X38",-46.3,-22.7,1
"X39",-46.25,-22.7,1
"X40",-46.2,-22.7,1
"X41",-46.15,-22.7,1
"X42",-46.1,-22.7,1
"X43",-46.05,-22.7,1
"X44",-46,-22.7,1
"X45",-45.95,-22.7,1
"X46",-45.9,-22.7,1
"X47",-45.85,-22.7,1
"X48",-46.35,-22.65,1
"X49",-46.3,-22.65,1
"X50",-46.25,-22.65,1
"X51",-46.2,-22.65,1
"X52",-46.15,-22.65,1
"X53",-46.1,-22.65,1
"X54",-46.05,-22.65,1
"X55",-46,-22.65,1
"X56",-45.95,-22.65,1
"X57",-45.9,-22.65,1
"X58",-45.85,-22.65,1
"X59",-45.8,-22.65,1
"X60",-45.75,-22.65,1
"X61",-45.7,-22.65,1
"X62",-45.55,-22.65,1
"X63",-45.4,-22.65,1
"X64",-46.4,-22.6,1
"X65",-46.35,-22.6,1
"X66",-46.3,-22.6,1
"X67",-46.25,-22.6,1
"X68",-46.2,-22.6,1
"X69",-46.15,-22.6,1
"X70",-46.1,-22.6,1
"X71",-46.05,-22.6,1
"X72",-46,-22.6,1
"X73",-45.95,-22.6,1
"X74",-45.9,-22.6,1
"X75",-45.85,-22.6,1
"X76",-45.8,-22.6,1
"X77",-45.75,-22.6,1
"X78",-45.65,-22.6,1
"X79",-45.6,-22.6,1
"X80",-45.55,-22.6,1
"X81",-45.5,-22.6,1
"X82",-45.45,-22.6,1
"X83",-45.4,-22.6,1
"X84",-45.35,-22.6,1
"X85",-45.3,-22.6,1
"X86",-46.4,-22.55,1
"X87",-46.35,-22.55,1
"X88",-46.3,-22.55,1
"X89",-46.25,-22.55,1
"X90",-46.2,-22.55,1
"X91",-46.15,-22.55,1
"X92",-46.1,-22.55,1
"X93",-46.05,-22.55,1
"X94",-46,-22.55,1
"X95",-45.95,-22.55,1
"X96",-45.9,-22.55,1
"X97",-45.85,-22.55,1
"X98",-45.8,-22.55,1
"X99",-45.75,-22.55,1
"X100",-45.7,-22.55,1
"X101",-45.65,-22.55,1
"X102",-45.6,-22.55,1
"X103",-45.55,-22.55,1
"X104",-45.5,-22.55,1
"X105",-45.45,-22.55,1
"X106",-45.4,-22.55,1
"X107",-45.35,-22.55,1
"X108",-45.3,-22.55,1
"X109",-45.25,-22.55,1
"X110",-45.2,-22.55,1
"X111",-46.5,-22.5,1
"X112",-46.45,-22.5,1
"X113",-46.4,-22.5,1
"X114",-46.35,-22.5,1
"X115",-46.3,-22.5,1
"X116",-46.25,-22.5,1
"X117",-46.2,-22.5,1
"X118",-46.15,-22.5,1
"X119",-46.1,-22.5,1
"X120",-46.05,-22.5,1
"X121",-46,-22.5,1
"X122",-45.95,-22.5,1
"X123",-45.9,-22.5,1
"X124",-45.85,-22.5,1
"X125",-45.8,-22.5,1
"X126",-45.75,-22.5,1
"X127",-45.7,-22.5,1
"X128",-45.65,-22.5,1
"X129",-45.6,-22.5,1
"X130",-45.55,-22.5,1
"X131",-45.5,-22.5,1
"X132",-45.45,-22.5,1
"X133",-45.4,-22.5,1
"X134",-45.35,-22.5,1
"X135",-45.3,-22.5,1
"X136",-45.25,-22.5,1
"X137",-45.2,-22.5,1
"X138",-45.15,-22.5,1
"X139",-46.55,-22.45,1
"X140",-46.5,-22.45,1
"X141",-46.45,-22.45,1
