"ID","longitude","latitude","topo","inout"
"X1",-46.35,-22.9,1222.47485351562,1
"X2",-46.35,-22.85,1250.52685546875,1
"X3",-46.3,-22.85,1253.95825195312,1
"X4",-46.25,-22.85,1277.96301269531,1
"X5",-46.2,-22.85,1393.02087402344,1
"X6",-46.15,-22.85,1489.0576171875,1
"X7",-46.1,-22.85,1557.15087890625,1
"X8",-46.05,-22.85,1563.98864746094,1
"X9",-46,-22.85,1656.51232910156,1
"X10",-46.35,-22.8,1258.45104980469,1
"X11",-46.3,-22.8,1262.96545410156,1
"X12",-46.25,-22.8,1255.67907714844,1
"X13",-46.2,-22.8,1279.10314941406,1
"X14",-46.15,-22.8,1286.91845703125,1
"X15",-46.1,-22.8,1455.04638671875,1
"X16",-46.05,-22.8,1552.68188476562,1
"X17",-46,-22.8,1561.40295410156,1
"X18",-45.95,-22.8,1574.94641113281,1
"X19",-45.9,-22.8,1557.15087890625,1
"X20",-45.85,-22.8,1550.14721679688,1
"X21",-45.8,-22.8,1268.76171875,1
"X22",-46.35,-22.75,1308.96203613281,1
"X23",-46.3,-22.75,1370.03637695312,1
"X24",-46.25,-22.75,1277.73461914062,1
"X25",-46.2,-22.75,1255.67907714844,1
"X26",-46.15,-22.75,1265.32275390625,1
"X27",-46.1,-22.75,1360.80834960938,1
"X28",-46.05,-22.75,1487.232421875,1
"X29",-46,-22.75,1562.13757324219,1
"X30",-45.95,-22.75,1573.92932128906,1
"X31",-45.9,-22.75,1599.14904785156,1
"X32",-45.85,-22.75,1659.84326171875,1
"X33",-45.8,-22.75,1296.63452148438,1
"X34",-45.75,-22.75,1122.6826171875,1
"X35",-46.45,-22.7,1235.12524414062,1
"X36",-46.4,-22.7,1255.67907714844,1
"X37",-46.35,-22.7,1328.47375488281,1
"X38",-46.3,-22.7,1513.48522949219,1
"X39",-46.25,-22.7,1414.76892089844,1
"X40",-46.2,-22.7,1277.17407226562,1
"X41",-46.15,-22.7,1255.67907714844,1
"X42",-46.1,-22.7,1288.65075683594,1
"X43",-46.05,-22.7,1368.04321289062,1
"X44",-46,-22.7,1525.00537109375,1
"X45",-45.95,-22.7,1650.98486328125,1
"X46",-45.9,-22.7,1671.34655761719,1
"X47",-45.85,-22.7,1622.15649414062,1
"X48",-46.35,-22.65,1321.65588378906,1
"X49",-46.3,-22.65,1523.73864746094,1
"X50",-46.25,-22.65,1482.24743652344,1
"X51",-46.2,-22.65,1384.04577636719,1
"X52",-46.15,-22.65,1311.55029296875,1
