ID;longitude;latitude;altitude;z0
X1;-46.25;-22.75;1357.4;0.233025149
X2;-46.1;-22.75;1499.4;0.246941164
X3;-45.95;-22.75;1511.8;0.248146608
X4;-45.8;-22.75;1455.2;0.242607668
X5;-46.4;-22.6;1294;0.226814821
X6;-46.25;-22.6;1501.5;0.247139528
X7;-46.1;-22.6;1514.6;0.248436525
X8;-45.95;-22.6;1342.9;0.231606081
X9;-45.8;-22.6;1177.6;0.215416506
X10;-45.65;-22.6;1284.1;0.225838259
X11;-45.5;-22.6;1550.4;0.251930773
X12;-45.35;-22.6;1411;0.238274172
X13;-46.55;-22.45;973.4;0.195396975
X14;-46.4;-22.45;1137;0.211418703
X15;-46.25;-22.45;1380.6;0.235298708
X16;-46.1;-22.45;1321.1;0.229469851
X17;-45.95;-22.45;1068.2;0.204689577
X18;-45.8;-22.45;989.9;0.197014406
X19;-45.65;-22.45;1062;0.204079226
X20;-45.5;-22.45;1241.2;0.221642092
X21;-45.35;-22.45;1427.2;0.239876345
X22;-45.2;-22.45;1509.5;0.247932985
X23;-45.05;-22.45;1436.4;0.240761355
X24;-44.9;-22.45;1312.5;0.228630617
X25;-46.7;-22.3;834.2;0.181755617
X26;-46.55;-22.3;1004.2;0.198418215
X27;-46.4;-22.3;1107.6;0.208550051
X28;-46.25;-22.3;1205.8;0.218163088
X29;-46.1;-22.3;1176.8;0.215324953
X30;-45.95;-22.3;987;0.196724489
X31;-45.8;-22.3;960.8;0.194161013
X32;-45.65;-22.3;974.1;0.19545801
X33;-45.5;-22.3;1126.9;0.210442141
X34;-45.35;-22.3;1339.5;0.231270388
X35;-45.2;-22.3;1468.9;0.243950441
X36;-45.05;-22.3;1394;0.236610964
X37;-44.9;-22.3;1562;0.253075182
X38;-44.75;-22.3;1879.6;0.284203112
X39;-44.6;-22.3;1646.8;0.261375964
X40;-46.55;-22.15;1116.4;0.209404543
X41;-46.4;-22.15;1197.9;0.21738489
X42;-46.25;-22.15;1222;0.219750002
X43;-46.1;-22.15;1214.9;0.219063357
X44;-45.95;-22.15;1057.4;0.203621462
X45;-45.8;-22.15;961.9;0.194252566
X46;-45.65;-22.15;961.4;0.194222048
X47;-45.5;-22.15;1145.1;0.212227419
X48;-45.35;-22.15;1356.4;0.232918337
X49;-45.2;-22.15;1282;0.225639895
X50;-45.05;-22.15;1180.1;0.215660647
X51;-44.9;-22.15;1359.4;0.233223513
X52;-44.75;-22.15;1561.2;0.252998888
X53;-44.6;-22.15;1474.5;0.244499758
X54;-44.45;-22.15;1325.8;0.229927614
X55;-44.3;-22.15;1154.6;0.213158205
X56;-44.15;-22.15;865;0.184776857
X57;-44;-22.15;773.4;0.175789431
X58;-46.55;-22;1209.5;0.218529299
X59;-46.4;-22;1222;0.219750002
X60;-46.25;-22;1222;0.219750002
X61;-46.1;-22;1216.6;0.219231203
X62;-45.95;-22;1103.1;0.208107546
X63;-45.8;-22;970.2;0.19507654
X64;-45.65;-22;960.8;0.194161013
X65;-45.5;-22;1014.8;0.199440554
X66;-45.35;-22;1152.9;0.2129751
X67;-45.2;-22;1077.5;0.205589846
