"ID","longitude","latitude","inout"
"X1",-39.05,-7.8,1
"X2",-39,-7.8,1
"X3",-38.95,-7.8,1
"X4",-39.1,-7.75,1
"X5",-39.05,-7.75,1
"X6",-39,-7.75,1
"X7",-38.95,-7.75,1
"X8",-39.25,-7.7,1
"X9",-39.15,-7.7,1
"X10",-39.1,-7.7,1
"X11",-39.05,-7.7,1
"X12",-39,-7.7,1
"X13",-38.95,-7.7,1
"X14",-38.9,-7.7,1
"X15",-38.85,-7.7,1
"X16",-39.3,-7.65,1
"X17",-39.25,-7.65,1
"X18",-39.2,-7.65,1
"X19",-39.15,-7.65,1
"X20",-39.1,-7.65,1
"X21",-39.05,-7.65,1
"X22",-39,-7.65,1
"X23",-38.95,-7.65,1
"X24",-38.9,-7.65,1
"X25",-38.85,-7.65,1
"X26",-38.8,-7.65,1
"X27",-38.75,-7.65,1
"X28",-39.4,-7.6,1
"X29",-39.35,-7.6,1
"X30",-39.3,-7.6,1
"X31",-39.25,-7.6,1
"X32",-39.2,-7.6,1
"X33",-39.15,-7.6,1
"X34",-39.1,-7.6,1
"X35",-39.05,-7.6,1
"X36",-39,-7.6,1
"X37",-38.95,-7.6,1
"X38",-38.9,-7.6,1
"X39",-38.85,-7.6,1
"X40",-38.8,-7.6,1
"X41",-38.75,-7.6,1
"X42",-39.45,-7.55,1
"X43",-39.4,-7.55,1
"X44",-39.35,-7.55,1
"X45",-39.3,-7.55,1
"X46",-39.25,-7.55,1
"X47",-39.2,-7.55,1
"X48",-39.15,-7.55,1
"X49",-39.1,-7.55,1
"X50",-39.05,-7.55,1
"X51",-39,-7.55,1
"X52",-38.95,-7.55,1
"X53",-38.9,-7.55,1
"X54",-38.85,-7.55,1
"X55",-38.8,-7.55,1
"X56",-38.75,-7.55,1
"X57",-38.7,-7.55,1
"X58",-39.45,-7.5,1
"X59",-39.4,-7.5,1
"X60",-39.35,-7.5,1
"X61",-39.3,-7.5,1
"X62",-39.25,-7.5,1
"X63",-39.2,-7.5,1
"X64",-39.15,-7.5,1
"X65",-39.1,-7.5,1
"X66",-39.05,-7.5,1
"X67",-39,-7.5,1
"X68",-38.95,-7.5,1
"X69",-38.9,-7.5,1
"X70",-38.85,-7.5,1
"X71",-38.8,-7.5,1
"X72",-38.75,-7.5,1
"X73",-38.7,-7.5,1
"X74",-38.65,-7.5,1
"X75",-39.55,-7.45,1
"X76",-39.5,-7.45,1
"X77",-39.45,-7.45,1
"X78",-39.4,-7.45,1
"X79",-39.35,-7.45,1
"X80",-39.3,-7.45,1
"X81",-39.25,-7.45,1
"X82",-39.2,-7.45,1
"X83",-39.15,-7.45,1
"X84",-39.1,-7.45,1
"X85",-39.05,-7.45,1
"X86",-39,-7.45,1
"X87",-38.95,-7.45,1
"X88",-38.9,-7.45,1
"X89",-38.85,-7.45,1
"X90",-38.8,-7.45,1
"X91",-38.75,-7.45,1
"X92",-38.7,-7.45,1
"X93",-38.65,-7.45,1
"X94",-39.6,-7.4,1
"X95",-39.55,-7.4,1
"X96",-39.5,-7.4,1
"X97",-39.45,-7.4,1
"X98",-39.4,-7.4,1
"X99",-39.35,-7.4,1
"X100",-39.3,-7.4,1
"X101",-39.25,-7.4,1
"X102",-39.2,-7.4,1
"X103",-39.15,-7.4,1
"X104",-39.1,-7.4,1
"X105",-39.05,-7.4,1
"X106",-39,-7.4,1
"X107",-38.95,-7.4,1
"X108",-38.9,-7.4,1
"X109",-38.85,-7.4,1
"X110",-38.8,-7.4,1
"X111",-38.75,-7.4,1
"X112",-38.7,-7.4,1
"X113",-38.65,-7.4,1
"X114",-38.6,-7.4,1
"X115",-40.45,-7.35,1
"X116",-40.4,-7.35,1
"X117",-40.2,-7.35,1
"X118",-40.15,-7.35,1
"X119",-40.1,-7.35,1
"X120",-40.05,-7.35,1
"X121",-40,-7.35,1
"X122",-39.95,-7.35,1
"X123",-39.65,-7.35,1
"X124",-39.6,-7.35,1
"X125",-39.55,-7.35,1
"X126",-39.5,-7.35,1
"X127",-39.45,-7.35,1
"X128",-39.4,-7.35,1
"X129",-39.35,-7.35,1
"X130",-39.3,-7.35,1
"X131",-39.25,-7.35,1
"X132",-39.2,-7.35,1
"X133",-39.15,-7.35,1
"X134",-39.1,-7.35,1
"X135",-39.05,-7.35,1
"X136",-39,-7.35,1
"X137",-38.95,-7.35,1
"X138",-38.9,-7.35,1
"X139",-38.85,-7.35,1
"X140",-38.8,-7.35,1
"X141",-38.75,-7.35,1
"X142",-38.7,-7.35,1
"X143",-38.65,-7.35,1
"X144",-38.6,-7.35,1
"X145",-40.5,-7.3,1
"X146",-40.45,-7.3,1
"X147",-40.4,-7.3,1
"X148",-40.35,-7.3,1
"X149",-40.3,-7.3,1
"X150",-40.25,-7.3,1
"X151",-40.2,-7.3,1
"X152",-40.15,-7.3,1
"X153",-40.1,-7.3,1
"X154",-40.05,-7.3,1
"X155",-40,-7.3,1
"X156",-39.95,-7.3,1
"X157",-39.9,-7.3,1
"X158",-39.85,-7.3,1
"X159",-39.8,-7.3,1
"X160",-39.75,-7.3,1
"X161",-39.7,-7.3,1
"X162",-39.65,-7.3,1
"X163",-39.6,-7.3,1
"X164",-39.55,-7.3,1
"X165",-39.5,-7.3,1
"X166",-39.45,-7.3,1
"X167",-39.4,-7.3,1
"X168",-39.35,-7.3,1
"X169",-39.3,-7.3,1
"X170",-39.25,-7.3,1
"X171",-39.2,-7.3,1
"X172",-39.15,-7.3,1
"X173",-39.1,-7.3,1
"X174",-39.05,-7.3,1
"X175",-39,-7.3,1
"X176",-38.95,-7.3,1
"X177",-38.9,-7.3,1
"X178",-38.85,-7.3,1
"X179",-38.8,-7.3,1
"X180",-38.75,-7.3,1
"X181",-38.7,-7.3,1
"X182",-38.65,-7.3,1
"X183",-38.6,-7.3,1
"X184",-38.55,-7.3,1
"X185",-40.5,-7.25,1
"X186",-40.45,-7.25,1
"X187",-40.4,-7.25,1
"X188",-40.35,-7.25,1
"X189",-40.3,-7.25,1
"X190",-40.25,-7.25,1
"X191",-40.2,-7.25,1
"X192",-40.15,-7.25,1
"X193",-40.1,-7.25,1
"X194",-40.05,-7.25,1
"X195",-40,-7.25,1
"X196",-39.95,-7.25,1
"X197",-39.9,-7.25,1
"X198",-39.85,-7.25,1
"X199",-39.8,-7.25,1
"X200",-39.75,-7.25,1
"X201",-39.7,-7.25,1
"X202",-39.65,-7.25,1
"X203",-39.6,-7.25,1
"X204",-39.55,-7.25,1
"X205",-39.5,-7.25,1
"X206",-39.45,-7.25,1
"X207",-39.4,-7.25,1
"X208",-39.35,-7.25,1
"X209",-39.3,-7.25,1
"X210",-39.25,-7.25,1
"X211",-39.2,-7.25,1
"X212",-39.15,-7.25,1
"X213",-39.1,-7.25,1
"X214",-39.05,-7.25,1
"X215",-39,-7.25,1
"X216",-38.95,-7.25,1
"X217",-38.9,-7.25,1
"X218",-38.85,-7.25,1
"X219",-38.8,-7.25,1
"X220",-38.75,-7.25,1
"X221",-38.7,-7.25,1
"X222",-38.65,-7.25,1
"X223",-38.6,-7.25,1
"X224",-40.5,-7.2,1
"X225",-40.45,-7.2,1
"X226",-40.4,-7.2,1
"X227",-40.35,-7.2,1
"X228",-40.3,-7.2,1
"X229",-40.25,-7.2,1
"X230",-40.2,-7.2,1
"X231",-40.15,-7.2,1
"X232",-40.1,-7.2,1
"X233",-40.05,-7.2,1
"X234",-40,-7.2,1
"X235",-39.95,-7.2,1
"X236",-39.9,-7.2,1
"X237",-39.85,-7.2,1
"X238",-39.8,-7.2,1
"X239",-39.75,-7.2,1
"X240",-39.7,-7.2,1
"X241",-39.65,-7.2,1
"X242",-39.6,-7.2,1
"X243",-39.55,-7.2,1
"X244",-39.5,-7.2,1
"X245",-39.45,-7.2,1
"X246",-39.4,-7.2,1
"X247",-39.35,-7.2,1
"X248",-39.3,-7.2,1
"X249",-39.25,-7.2,1
"X250",-39.2,-7.2,1
"X251",-39.15,-7.2,1
"X252",-39.1,-7.2,1
"X253",-39.05,-7.2,1
"X254",-39,-7.2,1
"X255",-38.95,-7.2,1
"X256",-38.9,-7.2,1
"X257",-38.85,-7.2,1
"X258",-38.8,-7.2,1
"X259",-38.75,-7.2,1
"X260",-38.7,-7.2,1
"X261",-38.65,-7.2,1
"X262",-40.45,-7.15,1
"X263",-40.4,-7.15,1
"X264",-40.35,-7.15,1
"X265",-40.3,-7.15,1
"X266",-40.25,-7.15,1
"X267",-40.2,-7.15,1
"X268",-40.15,-7.15,1
"X269",-40.1,-7.15,1
"X270",-40.05,-7.15,1
"X271",-40,-7.15,1
"X272",-39.95,-7.15,1
"X273",-39.9,-7.15,1
"X274",-39.85,-7.15,1
"X275",-39.8,-7.15,1
"X276",-39.75,-7.15,1
"X277",-39.7,-7.15,1
"X278",-39.65,-7.15,1
"X279",-39.6,-7.15,1
"X280",-39.55,-7.15,1
"X281",-39.5,-7.15,1
"X282",-39.45,-7.15,1
"X283",-39.4,-7.15,1
"X284",-39.35,-7.15,1
"X285",-39.3,-7.15,1
"X286",-39.25,-7.15,1
"X287",-39.2,-7.15,1
"X288",-39.15,-7.15,1
"X289",-39.1,-7.15,1
"X290",-39.05,-7.15,1
"X291",-39,-7.15,1
"X292",-38.95,-7.15,1
"X293",-38.9,-7.15,1
"X294",-38.85,-7.15,1
"X295",-38.8,-7.15,1
"X296",-38.75,-7.15,1
"X297",-38.7,-7.15,1
"X298",-40.45,-7.1,1
"X299",-40.4,-7.1,1
"X300",-40.35,-7.1,1
"X301",-40.3,-7.1,1
"X302",-40.25,-7.1,1
"X303",-40.2,-7.1,1
"X304",-40.15,-7.1,1
"X305",-40.1,-7.1,1
"X306",-40.05,-7.1,1
"X307",-40,-7.1,1
"X308",-39.95,-7.1,1
"X309",-39.9,-7.1,1
"X310",-39.85,-7.1,1
"X311",-39.8,-7.1,1
"X312",-39.75,-7.1,1
"X313",-39.7,-7.1,1
"X314",-39.65,-7.1,1
"X315",-39.6,-7.1,1
"X316",-39.55,-7.1,1
"X317",-39.5,-7.1,1
"X318",-39.45,-7.1,1
"X319",-39.4,-7.1,1
"X320",-39.35,-7.1,1
"X321",-39.3,-7.1,1
"X322",-39.25,-7.1,1
"X323",-39.2,-7.1,1
"X324",-39.15,-7.1,1
"X325",-39.1,-7.1,1
"X326",-39.05,-7.1,1
"X327",-39,-7.1,1
"X328",-38.95,-7.1,1
"X329",-38.9,-7.1,1
"X330",-38.85,-7.1,1
"X331",-38.8,-7.1,1
"X332",-38.75,-7.1,1
"X333",-38.7,-7.1,1
"X334",-40.4,-7.05,1
"X335",-40.35,-7.05,1
"X336",-40.3,-7.05,1
"X337",-40.25,-7.05,1
"X338",-40.2,-7.05,1
"X339",-40.15,-7.05,1
"X340",-40.1,-7.05,1
"X341",-40.05,-7.05,1
"X342",-40,-7.05,1
"X343",-39.95,-7.05,1
"X344",-39.9,-7.05,1
"X345",-39.85,-7.05,1
"X346",-39.8,-7.05,1
"X347",-39.75,-7.05,1
"X348",-39.7,-7.05,1
"X349",-39.65,-7.05,1
"X350",-39.6,-7.05,1
"X351",-39.55,-7.05,1
"X352",-39.5,-7.05,1
"X353",-39.45,-7.05,1
"X354",-39.4,-7.05,1
"X355",-39.35,-7.05,1
"X356",-39.3,-7.05,1
"X357",-39.25,-7.05,1
"X358",-39.2,-7.05,1
"X359",-39.15,-7.05,1
"X360",-39.1,-7.05,1
"X361",-39.05,-7.05,1
"X362",-39,-7.05,1
"X363",-38.95,-7.05,1
"X364",-38.9,-7.05,1
"X365",-38.85,-7.05,1
"X366",-38.8,-7.05,1
"X367",-38.75,-7.05,1
"X368",-38.7,-7.05,1
"X369",-40.4,-7,1
"X370",-40.35,-7,1
"X371",-40.3,-7,1
"X372",-40.25,-7,1
"X373",-40.2,-7,1
"X374",-40.15,-7,1
"X375",-40.1,-7,1
"X376",-40.05,-7,1
"X377",-40,-7,1
"X378",-39.95,-7,1
"X379",-39.9,-7,1
